COUNT,PER%,ANGLE,DIST
2,100.0,42,113.7453295744489
2,100.0,40,119.94165248152952
2,100.0,46,112.53888216967503
2,100.0,42,115.73245007343446
2,100.0,40,116.84177335182824
2,100.0,40,117.957619508025
2,100.0,38,117.957619508025
2,100.0,39,122.18837915284745
2,100.0,39,124.31009613060397
2,100.0,49,148.4082207965583
2,0.0,282,263.0475242232856
2,0.0,223,381.1312110021954
2,0.0,219,393.15391388106514
2,0.0,219,474.1276199505783
2,0.0,216,481.1257631846376
2,0.0,215,575.1052077663703
2,0.0,214,582.1039426081909
2,0.0,212,641.0943768276244
2,0.0,207,662.012084481847
2,0.0,205,683.0358702147348
2,0.0,205,685.0357654896568
2,0.0,203,708.0572010791219
2,0.0,203,710.0570399622836
2,0.0,201,720.0694410957876
2,0.0,200,720.1173515476488
2,0.0,201,721.1359095205286
2,0.0,202,709.1191719309245
2,0.0,201,698.1031442415941
2,0.0,201,694.1037386443038
2,0.0,203,679.0007363766257
2,0.0,205,672.0066963952071
2,0.0,211,609.0205251056815
2,0.0,214,598.0409684963063
2,0.0,209,500.00899991900144
2,0.0,196,396.72660611559695
2,0.0,197,246.01829200285087
2,0.0,199,248.0020161208372
2,0.0,205,190.010526024218
2,0.0,206,191.0
2,0.0,213,128.191263352851
2,0.0,210,126.19429464123962
2,0.0,224,47.01063709417264
2,0.0,223,29.068883707497267
2,0.0,220,23.194827009486403
2,0.0,224,19.92485884517128
2,0.0,227,25.0
2,0.0,206,24.186773244895647
2,0.0,210,21.213203435596427
2,0.0,215,22.09072203437452
2,0.0,224,22.47220505424423
2,0.0,213,19.4164878389476
2,0.0,206,19.026297590440446
2,0.0,210,38.28837943815329
2,0.0,205,41.617304093369626
2,0.0,225,95.85927185202274
2,0.0,206,163.99085340347492
2,0.0,201,170.23806859806652
2,0.0,175,208.40585404445807
2,0.0,154,218.51544567833184
2,0.63,144,232.6972281742952
2,6.16,140,232.7767170487633
2,26.94,127,202.7140843651472
2,31.51,124,191.51240168720145
2,50.56,112,123.25988804148736
